image_count, train_elapsed, train_interval, content_loss, style_loss, total_loss, reporting_line, train_completion, total_images, train_eta, train_left, delta_time
8280, 161.03653717041016, 1.0545265674591064, 475696, 368760, 844456, 154, 0.08283644803713634, 99956, 1944.029964904048, 1782.9934277336379, 0.0005618951878413325
8334, 162.08731889724731, 1.0507817268371582, 475105, 367262, 842367, 155, 0.08337668574172635, 99956, 1944.036482804566, 1781.9491639073187, 0.0005856801321172389
8388, 163.14254546165466, 1.0552265644073486, 474693, 365783, 840476, 156, 0.08391692344631638, 99956, 1944.0958839014252, 1780.9533384397705, 0.0005588405593819346
8442, 164.20144510269165, 1.0588996410369873, 474389, 364357, 838746, 157, 0.0844571611509064, 99956, 1944.1980154802945, 1779.996570377603, 0.0005372224198786357
8496, 165.2666368484497, 1.0651917457580566, 474018, 362858, 836876, 158, 0.08499739885549641, 99956, 1944.372875803159, 1779.1062389547094, 0.0005001871563744542
8550, 166.3231258392334, 1.0564889907836914, 473583, 361400, 834982, 159, 0.08553763656008644, 99956, 1944.4437855422707, 1778.1206597030373, 0.0005539743665061714
8604, 167.38445496559143, 1.0613291263580322, 473147, 360006, 833153, 160, 0.08607787426467646, 99956, 1944.5700349303413, 1777.1855799647499, 0.0005258809255630492
8658, 168.43717670440674, 1.0527217388153076, 472731, 358607, 831338, 161, 0.08661811196926648, 99956, 1944.5953377992237, 1776.158161094817, 0.0005781156911892626
8712, 169.50452637672424, 1.0673496723175049, 472287, 357233, 829519, 162, 0.0871583496738565, 99956, 1944.7881586905244, 1775.2836323138001, 0.0004923710062384457
8766, 170.56138586997986, 1.0568594932556152, 471862, 355870, 827732, 163, 0.08769858737844652, 99956, 1944.8589876819194, 1774.2976018119396, 0.0005554213895249127
8820, 171.61556911468506, 1.0541832447052002, 471352, 354484, 825835, 164, 0.08823882508303654, 99956, 1944.8986197763559, 1773.2830506616708, 0.0005718043857088073
8874, 172.6720266342163, 1.05645751953125, 470874, 353168, 824042, 165, 0.08877906278762655, 99956, 1944.963386775944, 1772.2913601417276, 0.000559239834595604
